loss:  tensor(5.9845, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(4.1975, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.6588, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(2.6923, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.3439, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.3010, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.9429, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.1633, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.8789, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.5329, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.6044, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.9406, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.3239, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.3532, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.6317, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.2204, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.6231, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.7880, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.9640, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(3.3500, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.4356, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.4654, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(2.5928, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.2424, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.2374, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.6126, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.9042, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.5579, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.2894, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.4941, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.8017, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.1306, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.0221, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.6604, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.3481, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.5840, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.6055, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.7300, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.6438, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.4894, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.0603, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.0888, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.8790, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.2143, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(2.6064, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.3686, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.1274, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.8368, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.1194, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.3959, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.2709, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.8396, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.4311, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.6958, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.2488, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.6511, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.5347, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.0531, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.7297, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.0825, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.3294, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.3543, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.9863, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.4210, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.0962, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.1473, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.0355, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(2.2197, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(0.9001, device='cuda:0', grad_fn=<DivBackward0>)
loss:  tensor(1.9690, device='cuda:0', grad_fn=<DivBackward0>)
